Country,year,fdi,taid,usaid,odagni,inf,trade,corrup,gexp,nexp,tgdp,infgdp,gdpg,gdppc,gdppcg,dsavgdp,gnig,gnipc,gnipcg,savgni,savgdp,ylit,adlit,primcomp,primenrol,primexp,geducspend,educspend,morrateu5,morrateneo,malwu5,hexp,incl10,inl20,pov2,pov125,povg2,povg125,gini,povgnline,povnline,cemp,yunem,unem,morinf,lifexp,pop,taidpc,usaidpc,gdp,taidgdp,usaidgdp,popg,eap,eca,lac,mena,sa,SSA,popg
1,1990,-3.263096398,217140000,1000000,3.235521805,.,.,.,34.49810394,82.01593424,59.84097626,10.85862391,-0.3,1547.232021,-3.02757037,29.69734228,.,.,.,11.24698878,9.004142134,.,.,.,.,.,.,.,212.8,51.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,126.1,41.13834146,10333844,21.01250996,0.096769411,15988854338,0.01358071,6.25E-05,.,0,0,0,0,0,1,.
1,1991,5.449514579,214560000,10000000,2.811680509,83.60833333,.,.,45.26272011,96.78989177,57.3164504,165.3995808,-1.2,1482.905559,-4.157518802,16.15758354,.,.,.,-3.457542158,-2.794277452,.,.,34.18909,.,.,.,.,212.1,51.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125.7,41.20634146,10652727,20.14132156,0.938726769,15796988086,0.013582336,0.000633032,0.03085812,0,0,0,0,0,1,0.03085812
1,1992,4.982459847,253840000,3000000,9.787297224,299.0605002,.,.,41.8807057,101.9387222,139.5213892,252.7404965,-6.9,1336.66449,-9.861792498,1.6789684,.,.,.,-58.95110456,-35.80860152,.,.,.,.,.,.,.,211.3,51.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125.3,41.31302439,11002758,23.07057921,0.27265891,14706995908,0.017259813,0.000203985,0.032858347,0,0,0,0,0,1,0.032858347
1,1993,5.71552893,196010000,14000000,8.933327925,1379.414274,.,.,41.54094785,101.2549853,109.0577549,1253.280568,-24.7,973.814281,-27.14594511,9.938315291,.,.,.,-41.82998443,-25.63679014,.,.,.,.,.,.,.,210.5,51.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.9,41.47819512,11372156,17.23595772,1.231077027,11074367919,0.01769943,0.001264181,0.033573219,0,0,0,0,0,1,0.033573219
1,1994,4.195018198,279440000,34000000,23.0094864,948.8111888,.,.,40.09460134,90.4924852,161.2079103,2124.607237,3.5,976.0324576,0.227782304,26.10255448,.,.,.,-41.78334709,-19.99820569,.,.,.,.,.,.,.,210.1,51.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.7,41.7162439,11743432,23.7954288,2.895235396,11461970796,0.024379752,0.002966331,0.032647811,0,0,0,0,0,1,0.032647811
1,1995,9.374416905,313290000,31000000,11.29257996,2671.792072,.,.,.,.,.,1895.206493,10.4,1045.358607,7.102852849,.,.,.,.,.,.,.,.,.,.,.,.,.,209.5,51.4,.,5.056805783,.,.,.,.,.,.,.,.,.,.,.,.,124.3,42.05146341,12104952,25.88114352,2.560935392,12654015759,0.024758148,0.002449815,0.030784868,0,0,0,0,0,1,0.030784868
1,1996,2.398993967,388900000,25000000,7.808384456,4145.107647,.,.,.,86.66555237,152.110063,5399.526172,11.2,1130.045589,8.101237389,48.15647461,.,.,.,98.96041339,77.34214783,.,.,.,.,.,.,.,208.7,51.3,37,3.536302008,.,.,.,.,.,.,.,.,.,.,.,.,123.9,42.50163415,12451945,31.23206856,2.007718473,14071265524,0.027637884,0.00177667,0.028665376,0,0,0,0,0,1,0.028665376
1,1997,5.382318076,297330000,22000000,5.54975034,219.1767212,.,.,.,100.6898691,137.6737412,94.319571,7.9,1186.962314,5.036675105,24.86998042,.,.,.,11.56253215,9.661007216,.,.,.,.,.,.,.,207.5,51.2,.,4.750836884,.,.,.,.,.,.,.,.,.,.,.,.,123.2,43.06212195,12791388,23.24454547,1.719907175,15182895500,0.019583221,0.001448999,0.027260239,0,0,0,0,0,1,0.027260239
1,1998,17.28413919,279890000,28760000,6.410228014,107.2848215,.,.,.,116.4212243,129.8674978,35.31682521,6.804762114,1234.329483,3.990621111,19.23964706,.,.,.,3.378177817,2.741435185,.,.,.,53.56896,.,6.35088,2.59149,206.4,51,.,4.973936664,.,.,.,.,.,.,.,.,.,.,.,.,122.6,43.71426829,13137542,21.30459412,2.189146189,16216055421,0.017260054,0.001773551,0.027061489,0,0,0,0,0,1,0.027061489
1,1999,40.16725096,304740000,48100000,8.21710756,248.1959024,.,.,.,106.4007987,178.9937854,556.9392569,3.239799671,1239.131001,0.388998122,22.49877534,.,.,.,0.072461179,0.055541996,.,.,.,.,.,6.35088,2.59149,205,50.9,.,5.676836885,.,.,.,.,.,.,.,.,.,.,.,.,121.8,44.439,13510616,22.55559628,3.560163356,16741423131,0.018202754,0.002873113,0.02839755,0,0,0,0,0,1,0.02839755
